year,Price,kms_driven,fuel_type,Brand,Model
2007,80000.0,45000.0,Petrol,Hyundai,Santro Xing XO eRLX Euro III
2006,425000.0,40.0,Diesel,Mahindra,Jeep CL550 MDI
2014,325000.0,28000.0,Petrol,Hyundai,Grand i10 Magna 1.2 Kappa VTVT
2014,575000.0,36000.0,Diesel,Ford,EcoSport Titanium 1.5L TDCi
2012,175000.0,41000.0,Diesel,Ford,Figo
2013,190000.0,25000.0,Petrol,Hyundai,Eon
2016,830000.0,24530.0,Diesel,Ford,EcoSport Ambiente 1.5L TDCi
2015,250000.0,60000.0,Petrol,Maruti,Suzuki Alto K10 VXi AMT
2010,182000.0,60000.0,Petrol,Skoda,Fabia Classic 1.2 MPI
2015,315000.0,30000.0,Petrol,Maruti,Suzuki Stingray VXi
2014,415000.0,32000.0,Petrol,Hyundai,Elite i20 Magna 1.2
2015,320000.0,48660.0,Diesel,Mahindra,Scorpio SLE BS IV
2007,80000.0,45000.0,Petrol,Hyundai,Santro Xing XO eRLX Euro III
2006,425000.0,40.0,Diesel,Mahindra,Jeep CL550 MDI
2017,1000000.0,4000.0,Petrol,Audi,A8
2014,500000.0,16934.0,Diesel,Audi,Q7
2016,350000.0,43000.0,Diesel,Mahindra,Scorpio S10
2014,160000.0,35550.0,Petrol,Maruti,Suzuki Alto 800
2016,350000.0,43000.0,Diesel,Mahindra,Scorpio S10
2016,310000.0,39522.0,Diesel,Mahindra,Scorpio S10
2015,75000.0,39000.0,Petrol,Maruti,Suzuki Alto 800 Vxi
2012,100000.0,55000.0,Petrol,Hyundai,i20 Sportz 1.2
2012,100000.0,55000.0,Petrol,Hyundai,i20 Sportz 1.2
2012,100000.0,55000.0,Petrol,Hyundai,i20 Sportz 1.2
2017,190000.0,72000.0,Petrol,Maruti,Suzuki Alto 800 Lx
2016,290000.0,15975.0,Diesel,Maruti,Suzuki Vitara Brezza ZDi
2008,95000.0,70000.0,Petrol,Maruti,Suzuki Alto LX
2017,180000.0,23452.0,Diesel,Mahindra,Bolero DI
2014,385000.0,35522.0,Diesel,Maruti,Suzuki Swift Dzire ZDi
2015,250000.0,48508.0,Diesel,Mahindra,Scorpio S10 4WD
2017,180000.0,15487.0,Petrol,Maruti,Suzuki Swift Vdi BSIII
2013,105000.0,39000.0,Petrol,Maruti,Suzuki Wagon R VXi BS III
2013,105000.0,39000.0,Petrol,Maruti,Suzuki Wagon R VXi Minor
2012,650000.0,82000.0,Diesel,Toyota,Innova 2.0 G 8 STR BS IV
2018,689999.0,20000.0,Diesel,Renault,Lodgy 85 PS RXL
2012,448000.0,68000.0,Diesel,Skoda,Yeti Ambition 2.0 TDI CR 4x2
2017,549000.0,32000.0,Diesel,Maruti,Suzuki Baleno Delta 1.2
2012,501000.0,38000.0,Diesel,Renault,Duster 110 PS RxZ Diesel Plus
2013,489999.0,27000.0,Diesel,Renault,Duster 85 PS RxE Diesel
2011,280000.0,33000.0,Petrol,Honda,City 1.5 S MT
2015,250000.0,60000.0,Petrol,Maruti,Suzuki Alto K10 VXi AMT
2013,349999.0,46000.0,Diesel,Maruti,Suzuki Dzire
2013,284999.0,46000.0,Diesel,Honda,Amaze
2015,345000.0,36000.0,Diesel,Honda,Amaze 1.5 SX i DTEC
2015,499999.0,55000.0,Petrol,Honda,City
2017,235000.0,16000.0,Petrol,Datsun,Redi GO S
2010,249999.0,36000.0,Petrol,Maruti,Suzuki SX4 ZXI MT
2015,1475000.0,47000.0,Diesel,Mitsubishi,Pajero Sport Limited Edition
2017,180000.0,23452.0,Diesel,Mahindra,Bolero DI
2014,385000.0,35522.0,Diesel,Maruti,Suzuki Swift Dzire ZDi
2015,250000.0,48508.0,Diesel,Mahindra,Scorpio S10 4WD
2017,180000.0,15487.0,Petrol,Maruti,Suzuki Swift Vdi BSIII
2013,105000.0,39000.0,Petrol,Maruti,Suzuki Wagon R VXi BS III
